id,request_id,file_url,version
1,1,https://docs.com/file1.pdf,1
2,2,https://docs.com/file2.pdf,1
3,3,https://docs.com/file3.pdf,2
4,5,https://docs.com/file4.pdf,1
5,4,https://docs.com/file5.pdf,3
6,3,https://docs.com/file6.pdf,1
7,2,https://docs.com/file7.pdf,2
8,3,https://docs.com/file8.pdf,1
9,11,https://docs.com/file9.pdf,2
10,2,https://docs.com/file10.pdf,1
11,12,https://docs.com/file11.pdf,2
12,13,https://docs.com/file12.pdf,1
13,14,https://docs.com/file13.pdf,3
14,12,https://docs.com/file14.pdf,1
15,16,https://docs.com/file15.pdf,2
16,15,https://docs.com/file16.pdf,1
17,17,https://docs.com/file17.pdf,2
18,12,https://docs.com/file18.pdf,1
19,12,https://docs.com/file19.pdf,3
20,19,https://docs.com/file20.pdf,1
