notification_id,event_id,job_id,sms,email,app,delay,time_stamp
n9f3a7c1b2e4d6f8a1c3b5d7e9f0a2b,ne001,j9f3a7c1b2e4d6f8a1c3b5d7e9f0a2b,TRUE,TRUE,TRUE,0,15/01/2023 8:30:00
n9f3a7c1b2e4d6f8a1c3b5d7e9f0a2b,ne002,j9f3a7c1b2e4d6f8a1c3b5d7e9f0a2b,TRUE,TRUE,TRUE,0,16/01/2023 8:30:00
n9f3a7c1b2e4d6f8a1c3b5d7e9f0a2b,ne003,j9f3a7c1b2e4d6f8a1c3b5d7e9f0a2b,TRUE,TRUE,TRUE,0,17/01/2023 8:30:00
n9f3a7c1b2e4d6f8a1c3b5d7e9f0a2b,ne004,j9f3a7c1b2e4d6f8a1c3b5d7e9f0a2b,TRUE,TRUE,TRUE,0,18/01/2023 8:30:00
n1c8e5a9d3b7f2a4c6e0b8d1f3a9c5e7,ne001,j1c8e5a9d3b7f2a4c6e0b8d1f3a9c5e7,TRUE,TRUE,TRUE,0,19/01/2023 8:30:00
n1c8e5a9d3b7f2a4c6e0b8d1f3a9c5e7,ne002,j1c8e5a9d3b7f2a4c6e0b8d1f3a9c5e7,TRUE,TRUE,TRUE,0,20/01/2023 8:30:00
n1c8e5a9d3b7f2a4c6e0b8d1f3a9c5e7,ne003,j1c8e5a9d3b7f2a4c6e0b8d1f3a9c5e7,TRUE,TRUE,TRUE,0,21/01/2023 8:30:00
n1c8e5a9d3b7f2a4c6e0b8d1f3a9c5e7,ne004,j1c8e5a9d3b7f2a4c6e0b8d1f3a9c5e7,TRUE,TRUE,TRUE,0,22/01/2023 8:30:00
n4b2d4f9a1e6c3b8f0d5a2c9e7b1f4ac,ne001,j4b2d4f9a1e6c3b8f0d5a2c9e7b1f4ac,TRUE,TRUE,TRUE,0,23/01/2023 8:30:00
n4b2d4f9a1e6c3b8f0d5a2c9e7b1f4ac,ne002,j4b2d4f9a1e6c3b8f0d5a2c9e7b1f4ac,TRUE,TRUE,TRUE,0,24/01/2023 8:30:00
n4b2d4f9a1e6c3b8f0d5a2c9e7b1f4ac,ne003,j4b2d4f9a1e6c3b8f0d5a2c9e7b1f4ac,TRUE,TRUE,TRUE,0,25/01/2023 8:30:00
n4b2d4f9a1e6c3b8f0d5a2c9e7b1f4ac,ne004,j4b2d4f9a1e6c3b8f0d5a2c9e7b1f4ac,TRUE,TRUE,TRUE,0,26/01/2023 8:30:00
n122d4f9a1e6c3b8f0d5a2c9e7b1f4b3,ne001,j122d4f9a1e6c3b8f0d5a2c9e7b1f4b3,TRUE,TRUE,TRUE,0,27/01/2023 8:30:00
n122d4f9a1e6c3b8f0d5a2c9e7b1f4b3,ne002,j122d4f9a1e6c3b8f0d5a2c9e7b1f4b3,TRUE,TRUE,TRUE,0,28/01/2023 8:30:00
n122d4f9a1e6c3b8f0d5a2c9e7b1f4b3,ne003,j122d4f9a1e6c3b8f0d5a2c9e7b1f4b3,TRUE,TRUE,TRUE,0,29/01/2023 8:30:00
n122d4f9a1e6c3b8f0d5a2c9e7b1f4b3,ne004,j122d4f9a1e6c3b8f0d5a2c9e7b1f4b3,TRUE,TRUE,TRUE,0,30/01/2023 8:30:00
n923d4f9a1e6c3b8f0d5a2c9e7b1fmn4,ne001,j923d4f9a1e6c3b8f0d5a2c9e7b1fmn4,TRUE,TRUE,TRUE,0,31/01/2023 8:30:00
n923d4f9a1e6c3b8f0d5a2c9e7b1fmn4,ne002,j923d4f9a1e6c3b8f0d5a2c9e7b1fmn4,TRUE,TRUE,TRUE,0,01/02/2023 8:30:00
n923d4f9a1e6c3b8f0d5a2c9e7b1fmn4,ne003,j923d4f9a1e6c3b8f0d5a2c9e7b1fmn4,TRUE,TRUE,TRUE,0,02/02/2023 8:30:00
n923d4f9a1e6c3b8f0d5a2c9e7b1fmn4,ne004,j923d4f9a1e6c3b8f0d5a2c9e7b1fmn4,TRUE,TRUE,TRUE,0,
