job_status_id,job_id,status,time_stamps,delay,exception_flags,note
jsl4f9a1c8b3e7d2a6c5b1e9f0a3d7c,j9f3a7c1b2e4d6f8a1c3b5d7e9f0a2b,Pending,15/01/2023 8:30:00,,,
jsl9c2e5a7d1b4f8a3c6e0b2d9f5a1e7,j9f3a7c1b2e4d6f8a1c3b5d7e9f0a2b,Assigned,16/01/2023 08:30:00,,,
jsl1a7c3f9d2b6e4a8c0e5b1d3f7a9c2,j9f3a7c1b2e4d6f8a1c3b5d7e9f0a2b,Completed,17/01/2023 8:30:00,2h,,signer come later
jsl6e1b9a4c7f2d8a3c5e0b6d1a9f3e7,j1c8e5a9d3b7f2a4c6e0b8d1f3a9c5e7,Pending,15/01/2023 8:30:00,,,
jsl3d8a5c1e9b7f2a6c4e0b1d5a7c9f2,j1c8e5a9d3b7f2a4c6e0b8d1f3a9c5e7,Cancelled,16/01/2023 08:30:00,,,client cancel service
jsl8a4f2c9d1e7b3a5c0e6d2b9f1a7c4,j7b2d4f9a1e6c3b8f0d5a2c9e7b1f4a6,Pending,11/01/2023 8:30:00,,,
jsl2c7a9e4b1d8f3a6c5e0b2d1f9a3c7,j7b2d4f9a1e6c3b8f0d5a2c9e7b1f4a6,Assigned,15/01/2023 8:30:00,,,
jsl5f1c8a3d7e9b2a6c4e0b5d1a9f7c2,j7b2d4f9a1e6c3b8f0d5a2c9e7b1f4a6,Completed,16/01/2023 08:30:00,,,
jsl7a3e1c9f4b2d8a6c0e5d3b1a7f9c2,j4b2d4f9a1e6c3b8f0d5a2c9e7b1f4ac,Pending,11/01/2023 8:30:00,,,
jsl4b9a2c7e1f8d3a6c5e0b1d9a3f7c2,j4b2d4f9a1e6c3b8f0d5a2c9e7b1f4ac,Assigned,15/01/2023 8:30:00,,,
jsl9e3a7c1f4b2d8a6c0e5d9b1a3f7c2,j4b2d4f9a1e6c3b8f0d5a2c9e7b1f4ac,Completed,16/01/2023 08:30:00,,,
jsl1f8c4a9d2e7b3a6c5e0b1d9a3c7f2,j122d4f9a1e6c3b8f0d5a2c9e7b1f4b3,Pending,11/01/2023 8:30:00,,,
jsl6a2e9c3f1b7d4a8c0e5d2b1a9f3c7,j122d4f9a1e6c3b8f0d5a2c9e7b1f4b3,Assigned,15/01/2023 8:30:00,,,
jsl3c9a5e1b7f2d4a6c8e0b1d9a3f7c2,j122d4f9a1e6c3b8f0d5a2c9e7b1f4b3,Completed,16/01/2023 08:30:00,,,
jsl8d1a7c4f2e9b3a6c5e0b8d1a9f3c7,jpd1d4f9a1e6c3b8f0d5a2c9e7b1f4fg,Pending,11/01/2023 8:30:00,,,
jsl2a6f9c3e1b7d4a8c0e5b2d9a1f3c7,jpd1d4f9a1e6c3b8f0d5a2c9e7b1f4fg,Assigned,15/01/2023 8:30:00,,,
jsl5c1a8e4b7f2d9a6c0e5d1b9a3f7c2,jpd1d4f9a1e6c3b8f0d5a2c9e7b1f4fg,Completed,16/01/2023 08:30:00,1d,,customer change sign place
jsl7e3a9c1f4b2d8a6c5e0b7d1a9f3c2,j923d4f9a1e6c3b8f0d5a2c9e7b1fmn4,Pending,11/01/2023 8:30:00,,,
jsl4a8c2e9b1f7d3a6c5e0d4b1a9f3c7,j923d4f9a1e6c3b8f0d5a2c9e7b1fmn4,Assigned,15/01/2023 8:30:00,,,
jsl9f2a7c3e1b4d8a6c5e0b9d1a3f7c2,j923d4f9a1e6c3b8f0d5a2c9e7b1fmn4,Completed,16/01/2023 08:30:00,,,
